link,rank,section,run_time,pub_time,publication,headline
https://apple.news/ABadSWu30Th6f2DGGS18Raw,1,top,2026-03-05 13:33:07,2026-03-05 13:31:08,The Wall Street Journal,"Kristi Noem has been replaced as Homeland Security secretary, Trump says"
https://apple.news/AJ_5NWAU4QuiAnsCKkYahVA,2,top,2026-03-05 13:33:07,2026-03-05 13:31:27,Axios,Trump says he must be involved in picking Iran’s next leader
https://apple.news/AUyVjoZp8Qeuz8sZ8t8E3Tg,3,top,2026-03-05 13:33:07,,Fox News,Mike Johnson asks embattled House Republican Tony Gonzales to drop reelection bid
https://apple.news/AcNw2e0_cS8uZ_ETIVYflnA,4,top,2026-03-05 13:33:07,2026-03-05 13:32:09,STAT,"A month in, TrumpRx falls short of president’s promises"
https://apple.news/AcNw2e0_cS8uZ_ETIVYflnA,5,top,2026-03-05 13:33:07,2026-03-05 13:31:33,STAT,"A month in, TrumpRx falls short of president’s promises"
,plus,top,2026-03-05 13:33:07,2026-03-05 13:30:52,Los Angeles Times,Why California’s heralded wine industry is running dry
https://apple.news/AVEF-zq-mT3qTt238w4r0mA,audio,top,2026-03-05 13:33:07,,Apple News Today,People are fleeing the Gulf. Some will pay any price to get out.
https://apple.news/AKVI4v7x8QAaW3I-daGRAaw,1,trending,2026-03-05 13:33:07,2026-03-05 09:36:01,,"A virus without a vaccine or treatment is hitting California. What you need to know, 4 hours ago, Karen Garcia and Hanna Sender"
https://apple.news/ANRMH-zwDTn6Y-vy4VHqd3Q,2,trending,2026-03-05 13:33:07,2026-03-05 10:36:20,,"CDC Issues Travel Advisory for 32 Countries, Including Several in Europe, Over Spread of Paralyzing Disease, 3 hours ago, Cara Lynn Shultz"
,3,trending,2026-03-05 13:33:07,2026-03-04 16:36:44,,"A ‘slam dunk’ development near Park City still isn’t finished, and people are suing, Apple News Plus, 21 hours ago"
https://apple.news/AwIq5_BHzTVCHaRTNuoaGvg,4,trending,2026-03-05 13:33:07,2026-03-05 11:36:49,,"I'm Dying Laughing At These Scammers Who Thought They Were So, So Smart And Immediately Had Their Entire Lives Ruined, 2 hours ago, Dave Stopera"
https://apple.news/Amt_guG2EQ7GJ6gR9obXYyA,1,top,2026-03-11 16:53:06,2026-03-11 16:46:07,The Guardian,"Iran escalates attacks on infrastructure and transport networks across the Gulf, MORE DETAILS"
https://apple.news/AtCapPy59QF2Jz8wgfQ_5Cg,2,top,2026-03-11 16:53:06,,Fox News,Texas GOP senator reverses on filibuster stance to pass SAVE Act as Trump weighs endorsement
,plus,top,2026-03-11 16:53:06,2026-03-11 16:46:49,The Wall Street Journal,Veterans Affairs to pursue legal guardianship of homeless vets
https://apple.news/Amt_guG2EQ7GJ6gR9obXYyA,1,top,2026-03-11 16:57:19,2026-03-11 16:46:20,The Guardian,"Iran escalates attacks on infrastructure and transport networks across the Gulf, MORE DETAILS"
https://apple.news/AtCapPy59QF2Jz8wgfQ_5Cg,2,top,2026-03-11 16:57:19,,Fox News,Texas GOP senator reverses on filibuster stance to pass SAVE Act as Trump weighs endorsement
https://apple.news/Amt_guG2EQ7GJ6gR9obXYyA,1,top,2026-03-11 17:06:11,2026-03-11 16:46:12,The Guardian,"Iran escalates attacks on infrastructure and transport networks across the Gulf, MORE DETAILS"
https://apple.news/AtCapPy59QF2Jz8wgfQ_5Cg,2,top,2026-03-11 17:06:11,,Fox News,Texas GOP senator reverses on filibuster stance to pass SAVE Act as Trump weighs endorsement
,plus,top,2026-03-11 17:06:11,2026-03-11 16:46:54,The Wall Street Journal,Veterans Affairs to pursue legal guardianship of homeless vets
https://apple.news/AQWYpcniVS_ax-QJ_C7w4wA,3,top,2026-03-11 17:06:11,2026-03-11 16:47:03,NPR,DOJ quietly begins restoring gun rights to some people with felony convictions
https://apple.news/A95ovU9jWSb2bcutx-5BWEw,4,top,2026-03-11 17:06:11,2026-03-11 16:46:22,The Associated Press,Lords a-leaving: Britain is ejecting hereditary nobles from Parliament after 700 years
https://apple.news/AQWYpcniVS_ax-QJ_C7w4wA,5,top,2026-03-11 17:06:11,2026-03-11 16:46:45,NPR,DOJ quietly begins restoring gun rights to some people with felony convictions
,plus,top,2026-03-11 17:06:11,2026-03-11 16:46:04,National Geographic,"GLP-1s don’t just quell addiction cravings. They stop them from forming, studies show."
,plus,top,2026-03-11 17:06:11,2026-03-11 16:45:46,National Geographic,"GLP-1s don’t just quell addiction cravings. They stop them from forming, studies show."
,plus,top,2026-03-11 17:06:11,2026-03-11 16:34:01,Billboard,"Whole Lotta 'Love': The Outfield's 'Your Love' Music Video Joins Billion Views Club, 40 Years After Release"
,plus,top,2026-03-11 17:06:11,2026-03-11 16:34:03,Billboard,"Whole Lotta 'Love': The Outfield's 'Your Love' Music Video Joins Billion Views Club, 40 Years After Release"
https://apple.news/Amt_guG2EQ7GJ6gR9obXYyA,1,top,2026-03-11 17:19:22,2026-03-11 16:46:22,The Guardian,"Iran escalates attacks on infrastructure and transport networks across the Gulf, MORE DETAILS",Sign up for Headlines US
https://apple.news/AtCapPy59QF2Jz8wgfQ_5Cg,2,top,2026-03-11 17:19:22,,Fox News,Texas GOP senator reverses on filibuster stance to pass SAVE Act as Trump weighs endorsement,Cornyn reverses on filibuster stance to push Trump's SAVE Act in Senate
https://apple.news/AhrbSP5RIRhilqrigBeB0cg,3,top,2026-03-11 17:19:22,2026-03-11 16:45:31,The Wall Street Journal,Veterans Affairs to pursue legal guardianship of homeless vets,Veterans Affairs to Pursue Legal Guardianship of Homeless Vets
https://apple.news/AQWYpcniVS_ax-QJ_C7w4wA,4,top,2026-03-11 17:19:22,2026-03-11 16:45:58,NPR,DOJ quietly begins restoring gun rights to some people with felony convictions,"The Trump DOJ is giving guns back to felons, including one alleged fake elector"
https://apple.news/A95ovU9jWSb2bcutx-5BWEw,5,top,2026-03-11 17:19:22,2026-03-11 16:46:25,The Associated Press,Lords a-leaving: Britain is ejecting hereditary nobles from Parliament after 700 years,Lords a-leaving: Britain is ejecting hereditary nobles from Parliament after 700 years
,plus,top,2026-03-11 17:19:22,2026-03-11 16:45:58,National Geographic,"GLP-1s don’t just quell addiction cravings. They stop them from forming, studies show.",
,plus,top,2026-03-11 17:19:22,,BBC Science Focus Magazine,Six life-changing habits for lasting happiness,
,plus,top,2026-03-11 17:19:22,,National Geographic,"A one-minute workout can transform your body, Hannah Singleton",
,plus,top,2026-03-11 17:19:22,,TIME,The 12 symptoms endocrinologists say you should never ignore,
,plus,top,2026-03-11 17:19:22,,Apple News Plus,"Sports Illustrated, Why the Maxx Crosby mess could permanently change the NFL’s free-agency system",
,plus,top,2026-03-11 17:19:22,,The Athletic,How the best U.S. baseball team ever assembled humiliated itself in the World Baseball Classic,
